country,iso2,year,value
Argentina,AR,2018,34.2772
Argentina,AR,2019,53.5483
Argentina,AR,2020,42.0151
Argentina,AR,2021,48.4094
Argentina,AR,2022,72.4308
Argentina,AR,2023,133.4889
Brazil,BR,1990,2947.7328
Brazil,BR,1991,432.7867
Brazil,BR,1992,951.9621
Brazil,BR,1993,1927.3808
Brazil,BR,1994,2075.8884
Brazil,BR,1995,66.007
Brazil,BR,1996,15.7577
Brazil,BR,1997,6.9267
Brazil,BR,1998,3.1951
Brazil,BR,1999,4.8584
Brazil,BR,2000,7.0441
Brazil,BR,2001,6.8404
Brazil,BR,2002,8.4502
Brazil,BR,2003,14.7149
Brazil,BR,2004,6.5972
Brazil,BR,2005,6.8695
Brazil,BR,2006,4.1836
Brazil,BR,2007,3.6413
Brazil,BR,2008,5.6786
Brazil,BR,2009,4.888
Brazil,BR,2010,5.0387
Brazil,BR,2011,6.6364
Brazil,BR,2012,5.4035
Brazil,BR,2013,6.2043
Brazil,BR,2014,6.329
Brazil,BR,2015,9.0299
Brazil,BR,2016,8.7391
Brazil,BR,2017,3.4464
Brazil,BR,2018,3.6649
Brazil,BR,2019,3.733
Brazil,BR,2020,3.2118
Brazil,BR,2021,8.3017
Brazil,BR,2022,9.2801
Brazil,BR,2023,4.5936
Canada,CA,1990,4.7805
Canada,CA,1991,5.6259
Canada,CA,1992,1.4901
Canada,CA,1993,1.8651
Canada,CA,1994,0.1656
Canada,CA,1995,2.1488
Canada,CA,1996,1.5705
Canada,CA,1997,1.6212
Canada,CA,1998,0.9959
Canada,CA,1999,1.7348
Canada,CA,2000,2.7194
Canada,CA,2001,2.5251
Canada,CA,2002,2.2584
Canada,CA,2003,2.7586
Canada,CA,2004,1.8573
Canada,CA,2005,2.2136
Canada,CA,2006,2.002
Canada,CA,2007,2.1384
Canada,CA,2008,2.3703
Canada,CA,2009,0.2995
Canada,CA,2010,1.7769
Canada,CA,2011,2.9121
Canada,CA,2012,1.5157
Canada,CA,2013,0.9383
Canada,CA,2014,1.9066
Canada,CA,2015,1.1252
Canada,CA,2016,1.4288
Canada,CA,2017,1.5969
Canada,CA,2018,2.2682
Canada,CA,2019,1.9493
Canada,CA,2020,0.717
Canada,CA,2021,3.3952
Canada,CA,2022,6.8028
Canada,CA,2023,3.879
China,CN,1990,3.0523
China,CN,1991,3.5567
China,CN,1992,6.354
China,CN,1993,14.6101
China,CN,1994,24.257
China,CN,1995,16.7912
China,CN,1996,8.3132
China,CN,1997,2.7865
China,CN,1998,-0.7732
China,CN,1999,-1.4015
China,CN,2000,0.3478
China,CN,2001,0.7191
China,CN,2002,-0.732
China,CN,2003,1.1276
China,CN,2004,3.8246
China,CN,2005,1.7764
China,CN,2006,1.6494
China,CN,2007,4.8168
